Navigation Status,MMSI,Longitude,Latitude,Ship_Type
1,525002061,105.98826666666666,-5.952658333333333,Passenger
5,525023151,106.08508,-6.376226666666667,Unknown ship type
1,525013032,106.082385,-5.469921666666667,Unknown ship type
0,525020136,-91.55202833333334,-95.74905,Unknown ship type
0,525501838,79.93045,69.11488666666666,Pilot
1,525121052,106.09436666666667,-5.287636666666667,Unknown ship type
1,525300013,106.10312,-5.870385,Fishing
0,525200129,-91.77104166666666,-95.36444166666666,Tankers
1,525018271,106.01425,-6.009736666666667,Unknown ship type
1,352003828,105.82585666666668,-5.775095,Passenger
8,525015932,105.92824333333331,-5.906718333333333,Unknown ship type
0,525023382,-91.66776166666666,-94.84683333333334,Unknown ship type
0,356291840,73.40309,87.870345,Tankers
1,525104002,106.00678333333332,-6.131116666666666,Cargo 
5,372241000,105.955805,-6.011383333333334,Unknown ship type
1,525601894,106.05501666666666,-5.610798333333333,Search and rescue vessels
0,525007392,105.98740166666668,-5.942035,Passenger
1,525701087,106.12871666666666,-5.940966666666666,Tugs
0,319106900,100.35423666666668,76.04433,Cargo 
0,477832300,105.32547833333334,-6.375873333333334,Unknown ship type
1,441838000,105.94207666666668,64.40669666666666,Unknown ship type
15,525016693,105.95045666666668,-6.01873,Unknown ship type
0,525300577,-91.679655,-95.05946666666668,Fishing
0,525008066,105.66806166666667,-6.093676666666667,Passenger
5,525601254,106.11230666666668,-5.9701466666666665,Search and rescue vessels
0,525001136,105.76886833333332,-5.8681616666666665,Passenger
0,525100688,105.994405,-5.930193333333333,Cargo 
1,525016008,105.94434,-5.9704983333333335,Unknown ship type
1,525121072,106.108855,-5.825241666666667,Unknown ship type
1,525002087,105.96212,-5.954795,Passenger
0,525401907,-92.068215,-93.94952,High-speed craft
0,636021432,105.8661,-5.770666666666667,Unknown ship type
1,525011121,106.12146166666666,-5.962066666666667,Unknown ship type
5,525200021,106.11050166666666,-5.97466,Tankers
0,525800155,-91.81218833333334,-94.08504,Sailing
1,525016563,106.13776,-5.954166666666667,Unknown ship type
0,525022382,-92.135895,-94.29055,Unknown ship type
0,525024354,-91.893655,-94.76390666666668,Unknown ship type
0,525301038,-91.91152166666669,-94.55774333333332,Fishing
0,525002086,72.92181,67.75076,Passenger
0,525021137,-91.75810833333334,-95.63567166666668,Unknown ship type
0,525501944,-91.83946833333331,-95.11074666666669,Pilot
0,525024003,-92.006215,-94.39744,Unknown ship type
5,525006404,106.02893333333331,-6.0789816666666665,Passenger
8,525200335,105.83878666666666,-6.438586666666667,Tankers
0,525100493,105.79037,-5.347986666666666,Cargo 
1,525119206,106.00891666666666,-6.358208333333334,Unknown ship type
1,525005350,106.00155,-6.34368,Passenger
1,525100008,105.95409666666669,-5.968451666666667,Cargo 
1,356344000,105.32538333333332,-5.5549,Unknown ship type
1,525015381,105.98296,-5.95257,Unknown ship type
0,525022300,105.78526666666669,-5.65939,Unknown ship type
1,525012321,106.13078333333333,-5.9490066666666666,Unknown ship type
1,525008084,106.01870833333334,-5.371815,Passenger
0,525601851,-91.81018,-46.89066666666667,Search and rescue vessels
0,525020137,-91.55138833333334,-95.74590166666668,Unknown ship type
0,525015868,105.79639166666666,-5.831261666666666,Unknown ship type
0,525500784,106.10803166666666,-5.950593333333333,Pilot
1,636019175,105.99071333333332,-6.64508,Unknown ship type
1,525201853,106.008195,-6.725145,Tankers
0,525601229,-91.91680166666669,-94.61100833333332,Search and rescue vessels
1,525001125,105.998895,-5.935883333333333,Passenger
0,525100633,105.972255,-5.905125,Cargo 
0,525300433,-91.57296166666669,-95.50588,Fishing
1,525900722,106.00394333333334,2.7766766666666665,Other types of vessels
0,525015860,-91.64570833333332,-95.56499166666669,Unknown ship type
0,636015989,105.73077666666669,-5.979405,Unknown ship type
1,525106002,106.05614,-5.861485,Cargo 
1,525006222,105.79814666666668,-5.821313333333333,Passenger
0,525021421,105.75392166666668,-5.765961666666667,Unknown ship type
1,525114102,105.99198833333334,-5.9699,Unknown ship type
0,538002013,99.67455666666666,76.92774666666666,Passenger
15,525001057,59.587516666666666,79.24566166666666,Passenger
0,525400425,-91.562215,-95.79684166666668,High-speed craft
